valid,hour,solar,tmpf,relh,speed,precip,et,soil04t,soil12t,soil24t,soil50t,soil12vwc,soil24vwc,soil50vwc
8/18/2013 1:00,,0,63.07,84.5,3.24,0,0,76.19,65.77,64.81,63.43,0.29,0.09,0.2
8/18/2013 2:00,,0,61,87.3,3.02,0,0,75.18,65.8,64.81,63.43,0.29,0.09,0.2
8/18/2013 3:00,,0,59.16,91.3,1.81,0,0,74.26,65.79,64.81,63.41,0.29,0.09,0.2
8/18/2013 4:00,,0,59.77,86.1,1.8,0,0,73.38,65.79,64.81,63.43,0.29,0.09,0.2
8/18/2013 5:00,,0,59.9,88,2.2,0,0,72.57,65.75,64.83,63.41,0.29,0.09,0.2
8/18/2013 6:00,,0,58.64,92.2,2.57,0,0,71.83,65.68,64.81,63.41,0.29,0.09,0.2
8/18/2013 7:00,,17,57.4,89.7,1.49,0,0.02,71.15,65.62,64.83,63.39,0.29,0.09,0.2
8/18/2013 8:00,,140,60.33,86.4,2.57,0,0.22,70.54,65.55,64.83,63.39,0.29,0.09,0.2
8/18/2013 9:00,,322,63.52,82.2,4.17,0,0.5,70.27,65.44,64.85,63.39,0.29,0.09,0.2
8/18/2013 10:00,,505,67.44,76.5,4.28,0,0.82,70.72,65.35,64.87,63.37,0.29,0.09,0.2
8/18/2013 11:00,,671,71.31,69.39,4.61,0,1.12,71.98,65.25,64.85,63.36,0.29,0.09,0.2
8/18/2013 12:00,,794,74.95,61.71,4.7,0,1.38,73.87,65.16,64.85,63.36,0.29,0.09,0.2
8/18/2013 13:00,,900,77.97,52.03,4.84,0,1.61,76.12,65.08,64.85,63.36,0.29,0.09,0.2
8/18/2013 14:00,,871,78.64,46.84,6.01,0,1.53,78.58,65.05,64.8,63.36,0.29,0.09,0.2
8/18/2013 15:00,,848,79.56,49.91,6.14,0,1.5,80.76,65.03,64.83,63.36,0.29,0.09,0.2
8/18/2013 16:00,,766,79.79,52.02,7.02,0,1.33,82.49,65.07,64.78,63.34,0.29,0.09,0.2
8/18/2013 17:00,,546,79.81,52.54,5.67,0,0.98,83.7,65.16,64.78,63.32,0.29,0.09,0.2
8/18/2013 18:00,,430,79.7,49.55,5.96,0,0.76,84.2,65.28,64.78,63.32,0.29,0.09,0.19
8/18/2013 19:00,,215,78.1,59.92,5.04,0,0.39,84.04,65.43,64.78,63.32,0.29,0.09,0.2
8/18/2013 20:00,,65,73.87,73.46,2.27,0,0.12,83.25,65.59,64.76,63.32,0.29,0.09,0.19
8/18/2013 21:00,,2,69.69,78.16,1.57,0,0,81.97,65.73,64.76,63.3,0.29,0.09,0.2
8/18/2013 22:00,,0,67.23,83.3,2.39,0,0,80.51,65.89,64.72,63.32,0.29,0.09,0.2
8/18/2013 23:00,,0,64.56,86.1,2.02,0,0,79.12,66.04,64.72,63.32,0.29,0.09,0.2
8/19/2013 0:00,,0,63.36,86.1,2.15,0,0,77.88,66.13,64.72,63.27,0.29,0.09,0.2
8/19/2013 1:00,,0,62.1,90,2.1,0,0,76.77,66.15,64.74,63.27,0.29,0.09,0.2
8/19/2013 2:00,,0,61.86,90.3,2.14,0,0,75.81,66.22,64.74,63.27,0.29,0.09,0.2
8/19/2013 3:00,,0,60.51,93.3,2.3,0,0,74.97,66.24,64.78,63.27,0.29,0.09,0.2
8/19/2013 4:00,,0,60.06,94.6,1.8,0,0,74.14,66.22,64.78,63.28,0.29,0.09,0.2
8/19/2013 5:00,,0,60.21,94.5,1.75,0,0,73.47,66.16,64.8,63.25,0.29,0.09,0.2
